categorie|marque|nom|nutritionGradeFr|ingredients|energie100g|graisse100g|sucres100g|fibres100g|proteines100g|sel100g|vitA100g|vitD100g|vitE100g|vitK100g|vitC100g|vitB1100g|vitB2100g|vitPP100g|vitB6100g|vitB9100g|vitB12100g|calcium100g|magnesium100g|iron100g|fer100g|betaCarotene100g|presenceHuilePalme|allergenes|additifs|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aliments et boissons à base de végétaux|Bjorg|Céréales et légumes secs, blé riz et lentilles|a|_Blé_ dur précuit 50%, riz long basmati 27%, lentilles rouges décortiquées 10%, riz long complet rouge 10%, lin doré 3%.|1509|1.3|1|4.9|11.3|0|||||||||||||||||0|Blé||,,,,,,,,,,,,,,,,,,,,,,,,
Aliments et boissons à base de végétaux|Bjorg|Soja Gratin Bio|b|*Tonyu, *farine de blé, *huile de tournesol oléique, *amidon de blé, émulsifiant : lécithine de tournesol, sel marin, *noix de muscade, épaississants : gomme guar et gomme xanthane, arôme naturel de poivre, arôme naturel de noix de muscade. |414|6.5|1.2|0.7|3.5|0.5|||||||||||||||||0||E322 - Lécithines,E322i - Lécithine,E412 - Gomme de guar,E415 - Gomme xanthane|,,,,,,,,,,,,,,,,,
Aliments et boissons à base de végétaux|Bjorg|Les Délicieux Palets soja à l'indienne|a|Soja* 42.6%, eau, riz* complet 10.9%, patates douces* 5.9%, crème de riz*, huile de tournesol*, oignons*, noix de coco* râpée, coriandre*, épices*, sel marin, épaississant : gomme arabique|615|7.2|0.5|4.6|8.3|0.9|||||||||||||||||0||E414 - Gomme d'acacia|,,,,,,,,,,,,,,,,,,
Aliments et boissons à base de végétaux|Bjorg|Mes Galettes Nature Bio|a|flocons d'avoine complet, son d'avoine, flocons de sarrasin complet, flocons de riz complet|1547|5.3|1.1|6.3|11.3|0.0025|||||||||||||||||0|||,,,,,,,,,,,,,,,,,,,,,,,,,,
Aliments et boissons à base de végétaux|Bjorg|Soja Cuisine semi-épais sans gluten|b|Tonyu), huile de colza, huile de tournesol, sirop de blé, émulsifiant : lécithines, stabilisants : gomme guar et gomme xanthane, sel marin, arômes naturels, antioxydant : extrait riche en tocophérols.|795|18|2.5|1.1|3.5|0.18|||||||||||||||||0|soja|E306 - Extrait riche en tocophérols,E322 - Lécithines,E412 - Gomme de guar,E415 - Gomme xanthane|,,,,,,,,,,,,,,,,,,
Aliments et boissons à base de végétaux|Bonduelle|Tomates mi-séchées|b|Tomates mi-séchées 68%, huiles végétales, sucre, sel, ail, plantes aromatiques, conservateur : E202. antioxydant : E300|1387|31.7|2.4||3.1|0.4|||||||||||||||||0||E202 - Sorbate de potassium,E300 - Acide ascorbique|,,,,,,,,,,,,,,,,,,,,,,
Aliments et boissons à base de végétaux|Bongran|Galettes de riz de Camargue Multicéréales|a|riz de camargue complet*, riz de camargue semi complet*, mélange de céréales 6%, sésame complet* 2%, sel de mer, émulsifiant : lécithine de tournesol, * issu de l'agriculture biologique|1619|1.4|0.4|1.9|9.2|0.28|||||||||||||||||0|en:gluten,en:sesame-seeds|E322 - Lécithines,E322i - Lécithine|,,,,,,,,,,,,,,,,,,,,,
Aliments et boissons à base de végétaux|Bongran|Galettes de riz de Camargue sans sel|a|Riz complet 50 % et semi complet de Camargue, émulsifiant : lécithine de tournesol.|1642.2|2.33|0.65|3.2|7.33|0.0127|||||||||||||||||0||E322 - Lécithines,E322i - Lécithine|,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aliments et boissons à base de végétaux|Bongran|Galettes de riz de Camargue Complet|a|riz complet bio de Camargue 50%, riz semi complet bio de Camargue, sel de mer, émulsifiant|1619|1.3|0.4|1.8|8.8|0.36|||||||||||||||||0||E322 - Lécithines,E322i - Lécithine|,,,,,,,,,,,,,,,,,,,,,,,,,
Aliments et boissons à base de végétaux|Bonneterre|Galette de Riz Sandwich Noisettes Cacao|d|Riz complet*, Sucre de Canne*, Huile de palme*, Pâte de noisettes*, poudre de sirop de riz*, poudre de cacao*, Sel marin, Arôme naturel de vanille*. * Ingrédients agricoles issus de l'Agriculture Biologique.|1937|18.2|2.7|3|6|0.15|||||||||||||||||1|||,,,,,,,,,,,,,,,,,,,,,,
